#pass	config	axis	side	rep	wall_s	cycles	instructions	load1	stdout
1	control-abba	alloc4c	oracle	0	1.144830	-	-	0.50	12888896
1	control-abba	alloc4c	rust-ir	0	2.270750	-	-	0.54	12888896
1	control-abba	alloc4c	oracle	1	1.163478	-	-	0.54	12888896
1	control-abba	alloc4c	rust-ir	1	2.318893	-	-	0.54	12888896
1	control-abba	alloc4c	oracle	2	1.168201	-	-	0.58	12888896
1	control-abba	alloc4c	rust-ir	2	2.294683	-	-	0.58	12888896
1	control-abba	alloc4c	oracle	3	1.153860	-	-	0.58	12888896
1	control-abba	alloc4c	rust-ir	3	2.300559	-	-	0.69	12888896
1	control-abba	alloc4c	oracle	4	1.153111	-	-	0.69	12888896
1	control-abba	alloc4c	rust-ir	4	2.295771	-	-	0.69	12888896
1	control-abba	alloc4c-101	oracle	0	1.149349	-	-	0.74	13028896
1	control-abba	alloc4c-101	rust-ir	0	2.304617	-	-	0.74	13028896
1	control-abba	alloc4c-101	oracle	1	1.174393	-	-	0.74	13028896
1	control-abba	alloc4c-101	rust-ir	1	2.295422	-	-	0.74	13028896
1	control-abba	alloc4c-101	oracle	2	1.167248	-	-	0.76	13028896
1	control-abba	alloc4c-101	rust-ir	2	2.311852	-	-	0.76	13028896
1	control-abba	alloc4c-101	oracle	3	1.178559	-	-	0.78	13028896
1	control-abba	alloc4c-101	rust-ir	3	2.318561	-	-	0.78	13028896
1	control-abba	alloc4c-101	oracle	4	1.167056	-	-	0.78	13028896
1	control-abba	alloc4c-101	rust-ir	4	2.323633	-	-	0.80	13028896
1	control-abba	alloc4c-101	oracle	0	1.151995	-	-	0.81	13028896
1	control-abba	alloc4c-101	rust-ir	0	2.304486	-	-	0.81	13028896
1	control-abba	alloc4c-101	oracle	1	1.171372	-	-	0.81	13028896
1	control-abba	alloc4c-101	rust-ir	1	2.342900	-	-	0.83	13028896
1	control-abba	alloc4c-101	oracle	2	1.171571	-	-	0.83	13028896
1	control-abba	alloc4c-101	rust-ir	2	2.318376	-	-	0.83	13028896
1	control-abba	alloc4c-101	oracle	3	1.174948	-	-	0.92	13028896
1	control-abba	alloc4c-101	rust-ir	3	2.318411	-	-	0.92	13028896
1	control-abba	alloc4c-101	oracle	4	1.164114	-	-	0.93	13028896
1	control-abba	alloc4c-101	rust-ir	4	2.326988	-	-	0.93	13028896
1	control-abba	alloc4c	oracle	0	1.168941	-	-	0.94	12888896
1	control-abba	alloc4c	rust-ir	0	2.294908	-	-	0.94	12888896
1	control-abba	alloc4c	oracle	1	1.154664	-	-	1.02	12888896
1	control-abba	alloc4c	rust-ir	1	2.288264	-	-	1.02	12888896
1	control-abba	alloc4c	oracle	2	1.152694	-	-	1.02	12888896
1	control-abba	alloc4c	rust-ir	2	2.299824	-	-	1.02	12888896
1	control-abba	alloc4c	oracle	3	1.162178	-	-	1.02	12888896
1	control-abba	alloc4c	rust-ir	3	2.259744	-	-	1.02	12888896
1	control-abba	alloc4c	oracle	4	1.167719	-	-	1.02	12888896
1	control-abba	alloc4c	rust-ir	4	2.285975	-	-	1.02	12888896
