# absolute Ir (summary minus libc.so.6, ld-linux), one round per BASE; d6dd60d90/7485ff6d5 from round 1 of perf/
program	d6dd60d90	36bbb3684	2f3065b2b	1b851ae96	ed8cb3f03	964a6a8db	5c7173fac	72f2bc3d8	8a1c43696	7485ff6d5
rexxcps	17897276821	17897262100	17897262244	17897261571	17897275338	17895021354	17895020145	17895021389	17895020918	17895021796
nop	9340094695	9340096531	9340092650	9340093925	9340099619	9340096547	9340097756	9340098987	9340102317	9340101302
assign	19540360342	19540356616	19540362543	19540363550	19540358273	19540363418	19540367442	19540366069	19540366163	19540362723
emptyloop	9285889130	9285881520	9285880091	9285885223	9285883237	9285884214	9285882014	9285886356	9285889033	9285882413
varlookup	14842896471	14842897447	14842901060	14842900887	14842909621	14842899213	14842902396	14842896084	14842902853	14842899605
arith	11519342277	11519344459	11519335048	11519334647	11519339462	11519341012	11519339371	11519343515	11519343096	11519344937
compound	9234398051	9234397623	9234395699	9234395473	9234393995	9234398275	9234394662	9234399600	9234407622	9234395510
dispatch	20471081669	20471070739	20471077644	20471088288	20471074287	20461076275	20461079595	20461084937	20461081386	20461083822
strings	17788061334	17788064296	17788067960	17788059921	17788064536	17737063957	17737061294	17737059536	17737067375	17737063413
startup	60856349	60859313	60858092	60859653	60855993	60860504	60858841	60864115	60860501	60859727
parse	1539184444	1539176319	1539176148	1539177398	1539180007	1543381442	1543380504	1543386739	1543378737	1543380824

# step change: the task whose commits lie between consecutive BASEs
program	T2	T3b	T4	T5	T6	T7	T8	T9	T10	cumulative
rexxcps	-0.00008%	+0.00000%	-0.00000%	+0.00008%	-0.01259%	-0.00001%	+0.00001%	-0.00000%	+0.00000%	-0.01260%
nop	+0.00002%	-0.00004%	+0.00001%	+0.00006%	-0.00003%	+0.00001%	+0.00001%	+0.00004%	-0.00001%	+0.00007%
assign	-0.00002%	+0.00003%	+0.00001%	-0.00003%	+0.00003%	+0.00002%	-0.00001%	+0.00000%	-0.00002%	+0.00001%
emptyloop	-0.00008%	-0.00002%	+0.00006%	-0.00002%	+0.00001%	-0.00002%	+0.00005%	+0.00003%	-0.00007%	-0.00007%
varlookup	+0.00001%	+0.00002%	-0.00000%	+0.00006%	-0.00007%	+0.00002%	-0.00004%	+0.00005%	-0.00002%	+0.00002%
arith	+0.00002%	-0.00008%	-0.00000%	+0.00004%	+0.00001%	-0.00001%	+0.00004%	-0.00000%	+0.00002%	+0.00002%
compound	-0.00000%	-0.00002%	-0.00000%	-0.00002%	+0.00005%	-0.00004%	+0.00005%	+0.00009%	-0.00013%	-0.00003%
dispatch	-0.00005%	+0.00003%	+0.00005%	-0.00007%	-0.04884%	+0.00002%	+0.00003%	-0.00002%	+0.00001%	-0.04884%
strings	+0.00002%	+0.00002%	-0.00005%	+0.00003%	-0.28671%	-0.00002%	-0.00001%	+0.00004%	-0.00002%	-0.28670%
startup	+0.00487%	-0.00201%	+0.00256%	-0.00601%	+0.00741%	-0.00273%	+0.00867%	-0.00594%	-0.00127%	+0.00555%
parse	-0.00053%	-0.00001%	+0.00008%	+0.00017%	+0.27297%	-0.00006%	+0.00040%	-0.00052%	+0.00014%	+0.27264%
