table	jmp	idx	variant	target	line	rexxcps	varlookup	arith	emptyloop	dispatch	compound
0x4025c	1e1932	0	Clause	0x1e1934	rexx_run.c1f58fc545b59ff3-cgu.0:?	1120000	0	0	0	0	0
0x4025c	1e1932	1	TraceKeyword	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	2	LoopHeaderValue	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	3	LoopRun	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	4	LoopNext	0x1e1def	drive.rs:2039	0	0	0	0	0	0
0x4025c	1e1932	5	TraceClause	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	6	EvalExpr	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	7	CallExpr	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	8	PushArg	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	9	TraceArgument	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	10	CallArgs	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	11	TraceFunction	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	12	SelectCaseText	0x1e1e95	drive.rs:1990	0	0	0	0	0	0
0x4025c	1e1932	13	WhenTest	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	14	EndBranch	0x1e1eca	drive.rs:2009	0	0	0	0	0	0
0x4025c	1e1932	15	EndWhen	0x1e1ff9	drive.rs:2012	0	0	0	0	0	0
0x4025c	1e1932	16	EnterWhen	0x1e1f22	drive.rs:2025	0	0	0	0	0	0
0x4025c	1e1932	17	EnterOtherwise	0x1e208c	drive.rs:2031	0	0	0	0	0	0
0x4025c	1e1932	18	Const	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	19	LoadConstant	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	20	TraceLiteral	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
0x4025c	1e1932	21	Load	0x1e4e31	drive.rs:2069	0	0	0	0	0	0
