table	jmp	idx	variant	target	line	rexxcps	varlookup	arith	emptyloop	dispatch	compound
0x3e750	13c291	0	Clause	0x13c293	rexx_run.c1f58fc545b59ff3-cgu.0:?	16321024	38000202	3500202	25000201	15000206	10000705
0x3e750	13c291	1	TraceKeyword	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	2	LoopHeaderValue	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	3	LoopRun	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	4	LoopNext	0x13c39a	drive.rs:2039	600250	19000050	500050	25000050	5000050	5000550
0x3e750	13c291	5	TraceClause	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	6	EvalExpr	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	7	CallExpr	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	8	PushArg	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	9	TraceArgument	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	10	CallArgs	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	11	TraceFunction	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	12	SelectCaseText	0x13c441	drive.rs:1990	560000	0	0	0	0	0
0x3e750	13c291	13	WhenTest	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	14	EndBranch	0x13c476	drive.rs:2009	840006	5	5	5	5	5
0x3e750	13c291	15	EndWhen	0x13c5a0	drive.rs:2012	560000	0	0	0	0	0
0x3e750	13c291	16	EnterWhen	0x13c4ce	drive.rs:2025	560000	0	0	0	0	0
0x3e750	13c291	17	EnterOtherwise	0x13c62e	drive.rs:2031	0	0	0	0	0	0
0x3e750	13c291	18	Const	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	19	LoadConstant	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	20	TraceLiteral	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	21	Load	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	22	TraceRead	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	23	Arith	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	24	Binary	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	25	TraceOperator	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	26	Prefix	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	27	TracePrefix	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	28	Store	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	29	Say	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	30	Signal	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	31	Parse	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	32	Return	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	33	Queue	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	34	Call	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	35	CallNamed	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	36	Message	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	37	Expose	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	38	Exec	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	39	Escape	0x13f727	drive.rs:2069	0	0	0	0	0	0
0x3e750	13c291	40	Jump	0x13c383	drive.rs:1978	1	0	0	0	0	0
0x3e750	13c291	41	JumpUnless	0x13e7ce	drive.rs:1449	0	0	0	0	0	0
0x3e750	13c291	42	ConditionJump	0x13d6d5	drive.rs:1822	0	0	0	0	0	0
0x3e8a0	13d361	0	Clause	0x13e872	rexx_run.c1f58fc545b59ff3-cgu.0:?	0	0	0	0	0	0
0x3e8a0	13d361	1	TraceKeyword	0x13d782	drive.rs:1809	860101	0	0	0	0	0
0x3e8a0	13d361	2	LoopHeaderValue	0x13d6b6	drive.rs:1822	1160207	5	5	5	5	7
0x3e8a0	13d361	3	LoopRun	0x13e8d4	mod.rs:?	1140205	4	4	4	4	5
0x3e8a0	13d361	4	LoopNext	0x13e810	drive.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	5	TraceClause	0x13d978	drive.rs:602	0	0	0	0	0	0
0x3e8a0	13d361	6	EvalExpr	0x13d937	drive.rs:847	45	45	45	45	47	45
0x3e8a0	13d361	7	CallExpr	0x13d8d4	drive.rs:719	0	0	0	0	0	0
0x3e8a0	13d361	8	PushArg	0x13d9bc	drive.rs:761	4760417	12	12	12	12	12
0x3e8a0	13d361	9	TraceArgument	0x13d363	drive.rs:767	0	0	0	0	0	0
0x3e8a0	13d361	10	CallArgs	0x13db72	drive.rs:792	1960207	5	5	5	5	5
0x3e8a0	13d361	11	TraceFunction	0x13d39c	drive.rs:831	0	0	0	0	0	0
0x3e8a0	13d361	12	SelectCaseText	0x13e5cc	roots.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	13	WhenTest	0x13da9e	drive.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	14	EndBranch	0x13e51c	drive.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	15	EndWhen	0x13e62e	mod.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	16	EnterWhen	0x13e738	drive.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	17	EnterOtherwise	0x13e9ef	drive.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	18	Const	0x13dbd0	drive.rs:877	5060417	6	6	7	6	6
0x3e8a0	13d361	19	LoadConstant	0x13d5ee	drive.rs:916	9880016	19000009	2500009	8	5000009	5000013
0x3e8a0	13d361	20	TraceLiteral	0x13d40b	drive.rs:964	0	0	0	0	0	0
0x3e8a0	13d361	21	Load	0x13d4dc	drive.rs:985	7560421	38000006	4000006	5	5000006	15001007
0x3e8a0	13d361	22	TraceRead	0x13d46b	drive.rs:1052	0	0	0	0	0	0
0x3e8a0	13d361	23	Arith	0x13dcb2	drive.rs:1086	1380205	19000000	4000000	0	5000000	10000501
0x3e8a0	13d361	24	Binary	0x13d591	drive.rs:1147	7860011	0	0	0	0	0
