file	codegen	error propagation	Rust checks	missing caching	D19 depth	trace gating/state	rooting	clause bookkeeping	allocation	representation	work + dispatch	total
nop.tree-walker	141.0	28.0	10.0	0.0	0.0	42.0	3.0	18.0	0.0	0.0	37.0	279.0
nop.oracle	1.0	0.0	0.0	0.0	0.0	5.0	2.0	15.0	0.0	0.0	10.3	33.3
assign_var.tree-walker	212.0	41.0	23.0	132.0	18.0	50.0	7.0	18.0	0.0	10.0	133.0	644.0
assign_var.oracle	20.0	0.0	0.0	0.0	0.0	4.0	6.0	15.0	0.0	0.0	54.3	99.3
incr.tree-walker	266.0	57.0	30.0	175.0	52.0	59.0	18.0	18.0	0.0	25.0	262.0	962.0
incr.oracle	37.0	0.0	0.0	0.0	0.0	4.0	14.0	15.0	109.0	0.0	132.3	311.2
if_eq.tree-walker	319.0	61.0	44.0	66.0	52.0	54.0	20.0	25.0	0.0	97.0	364.0	1102.0
if_eq.oracle	53.0	0.0	0.0	0.0	0.0	11.0	14.0	15.0	0.0	0.0	161.3	254.3
ctrl2.tree-walker	78.0	9.0	12.0	0.0	0.0	6.0	0.0	6.0	3.0	17.0	145.0	276.0
ctrl2.oracle	58.0	1.0	0.0	0.0	0.0	10.0	37.0	15.0	109.0	0.0	230.3	460.3
assign_lit.tree-walker	205.0	41.0	14.0	166.0	18.0	50.0	7.0	18.0	0.0	5.0	111.0	635.0
assign_lit.oracle	18.0	0.0	0.0	0.0	0.0	2.0	6.0	15.0	0.0	0.0	47.3	88.3
concat.tree-walker	338.0	59.0	34.0	132.0	52.0	58.0	18.0	18.0	0.0	60.0	322.0	1091.0
concat.oracle	61.0	0.0	0.0	0.0	0.0	9.0	14.0	15.0	100.0	0.0	148.3	347.3
bif_length.tree-walker	356.0	61.0	39.0	224.0	34.0	50.0	11.0	23.0	0.0	17.0	353.0	1168.0
bif_length.oracle	83.0	0.0	0.0	0.0	0.0	7.0	79.0	15.0	0.0	0.0	150.3	334.3
mul.tree-walker	492.0	91.0	47.0	315.0	52.0	58.0	18.0	18.0	140.5	45.0	708.7	1985.2
mul.oracle	107.0	0.0	0.0	0.0	0.0	14.0	40.0	15.0	109.0	0.0	340.3	625.3
call_r.tree-walker	846.0	118.0	80.0	121.0	0.0	154.0	9.0	104.0	66.0	15.0	584.0	2097.0
call_r.oracle	139.0	0.0	0.0	0.0	0.0	17.0	53.0	45.0	99.1	0.0	497.9	851.0
