self/it	incl/it	calls/it	object	function
231.00	634.00	1.000	tw-rexx-run	<rexx_exec::Interp>::walk_step_in_temps_frame'2
91.00	100.00	1.000	tw-rexx-run	<hashbrown::map::HashMap<alloc::boxed::Box<[u8]>, rexx_core::handle::ObjRef, rustc_hash::FxBuildHasher>>::get::<[u8]>
64.00	191.00	1.000	tw-rexx-run	<rexx_exec::Interp>::assign_expr_target
64.00	402.90	1.000	tw-rexx-run	<rexx_exec::Interp>::exec_instruction
49.00	240.00	1.000	tw-rexx-run	<rexx_exec::Interp>::assign_evaluated
42.00	42.00	1.000	tw-rexx-run	<rexx_exec::Interp>::read_at
40.00	82.00	1.000	tw-rexx-run	<rexx_exec::Interp>::eval_node
27.00	127.00	1.000	tw-rexx-run	<rexx_exec::Interp>::slot_of
19.00	652.90	0.000	tw-rexx-run	<rexx_exec::Interp>::walk_step_in_temps_frame
17.00	17.00	1.000	tw-rexx-run	<rexx_exec::Interp>::enter_eval_node::<u8>
9.00	9.00	1.000	libc.so.6	__memcmp_avx2_movbe
TOTAL self diff/it 652.91  summary diff/it 652.91
