self/it	incl/it	calls/it	object	function
155.00	305.00	1.000	librexx.so.4	RexxActivation::run(RexxObject*, RexxString*, RexxObject**, unsigned long, RexxInstruction*, ProtectedObject&)'2
123.00	214.00	1.000	librexx.so.4	RexxActivation::RexxActivation(Activity*, RexxActivation*, RexxCode*, ActivationContext)
98.01	98.01	2.000	libc.so.6	__memset_avx2_unaligned_erms
84.96	144.34	1.000	librexx.so.4	MemoryObject::newObject(unsigned long, unsigned long)
77.00	914.01	1.000	librexx.so.4	RexxInstructionCall::execute(RexxActivation*, ExpressionStack*)
59.00	802.01	1.000	librexx.so.4	RexxActivation::internalCall(RexxString*, RexxInstruction*, RexxObject**, unsigned long, ProtectedObject&)
44.00	52.00	2.000	librexx.so.4	Activity::updateFrameMarkers()
41.00	44.00	1.000	librexx.so.4	RexxActivation::termination()
27.00	380.00	1.000	librexx.so.4	ActivityManager::newActivation(Activity*, RexxActivation*, RexxCode*, ActivationContext)
26.00	26.00	1.000	librexx.so.4	RexxActivation::allocateStackFrame()
26.00	58.00	1.000	librexx.so.4	Activity::pushStackFrame(ActivationBase*)
26.00	54.00	1.000	librexx.so.4	Activity::popStackFrame(bool)
25.25	949.60	0.000	librexx.so.4	RexxActivation::run(RexxObject*, RexxString*, RexxObject**, unsigned long, RexxInstruction*, ProtectedObject&)
19.00	19.00	1.000	librexx.so.4	RexxActivation::returnFrom(RexxObject*)
18.00	41.00	1.000	librexx.so.4	RexxInstructionReturn::execute(RexxActivation*, ExpressionStack*)
12.00	12.00	1.000	librexx.so.4	ProtectedBase::ProtectedBase()
10.00	10.00	1.000	librexx.so.4	RexxVariable::drop()
9.14	9.18	0.000	librexx.so.4	MemorySegmentSet::sweepSingleSegment(MemorySegment*)
8.00	8.00	1.000	librexx.so.4	RexxInstructionLabel::execute(RexxActivation*, ExpressionStack*)
6.00	6.00	1.000	librexx.so.4	RexxDateTime::clear()
6.00	6.00	1.000	librexx.so.4	ProtectedBase::~ProtectedBase()
5.00	139.00	1.000	librexx.so.4	RexxActivation::operator new(unsigned long)
4.00	4.00	1.000	librexx.so.4	Activity::checkStackSpace()
4.00	4.00	2.000	librexx.so.4	ActivationBase::isStackBase()
4.00	4.00	2.000	librexx.so.4	RexxActivation::getNumericSettings()
4.00	4.00	2.000	librexx.so.4	RexxActivation::getRexxContext()
4.00	4.00	1.000	librexx.so.4	RexxInstructionExpression::evaluateExpression(RexxActivation*, ExpressionStack*)
4.00	4.00	1.000	librexx.so.4	NumericSettings::setDefault()
4.00	4.00	1.000	librexx.so.4	Activity::checkActivationStack()
3.00	3.00	1.000	librexx.so.4	RexxActivation::closeStreams()
3.00	3.00	1.000	librexx.so.4	RexxInstruction::evaluateArguments(RexxActivation*, ExpressionStack*, RexxInternalObject**, unsigned long)
3.00	3.00	1.000	librexx.so.4	RexxActivation::traceEntry()
2.00	2.00	1.000	librexx.so.4	BaseCode::getPackageObject()
2.00	6.00	1.000	librexx.so.4	NumericSettings::NumericSettings()
2.00	8.00	1.000	librexx.so.4	RexxDateTime::RexxDateTime()
0.54	0.58	0.001	librexx.so.4	HashContents::live(unsigned long)
TOTAL self diff/it 949.82  summary diff/it 949.82
