self/it	incl/it	calls/it	object	function
231.00	1129.00	1.000	tw-rexx-run	<rexx_exec::Interp>::walk_step_in_temps_frame'2
124.00	172.00	1.000	tw-rexx-run	<rexx_exec::Interp>::concat_values
91.00	100.00	1.000	tw-rexx-run	<hashbrown::map::HashMap<alloc::boxed::Box<[u8]>, rexx_core::handle::ObjRef, rustc_hash::FxBuildHasher>>::get::<[u8]>
86.00	577.00	1.000	tw-rexx-run	<rexx_exec::Interp>::eval_node
84.00	84.00	2.000	tw-rexx-run	<rexx_exec::Interp>::read_at
80.00	164.00	2.000	tw-rexx-run	<rexx_exec::Interp>::eval_node'2
70.00	266.00	2.000	tw-rexx-run	<rexx_exec::Interp>::eval
64.00	191.00	1.000	tw-rexx-run	<rexx_exec::Interp>::assign_expr_target
64.00	897.99	1.000	tw-rexx-run	<rexx_exec::Interp>::exec_instruction
49.00	240.00	1.000	tw-rexx-run	<rexx_exec::Interp>::assign_evaluated
49.00	49.00	3.000	tw-rexx-run	<rexx_exec::Interp>::enter_eval_node::<u8>
48.00	48.00	3.000	libc.so.6	__memcpy_avx_unaligned_erms
43.00	225.00	1.000	tw-rexx-run	<rexx_exec::Interp>::apply_binary
27.00	127.00	1.000	tw-rexx-run	<rexx_exec::Interp>::slot_of
19.00	1147.99	0.000	tw-rexx-run	<rexx_exec::Interp>::walk_step_in_temps_frame
10.00	10.00	1.000	tw-rexx-run	<rexx_exec::Interp>::operator_message_receiver
8.99	8.99	1.000	libc.so.6	__memcmp_avx2_movbe
TOTAL self diff/it 1148.06  summary diff/it 1148.06
