self/it	incl/it	calls/it	object	function
328.62	328.62	15.649	libc.so.6	__memcmp_avx2_movbe
316.78	1509.65	1.000	librexx.so.4	CompoundVariableTable::findEntry(CompoundVariableTail&, bool)
272.92	776.43	2.999	librexx.so.4	MemoryObject::newObject(unsigned long, unsigned long)
239.96	285.46	1.000	librexx.so.4	CompoundVariableTable::balance(CompoundTableElement*)
166.44	321.12	2.920	librexx.so.4	CompoundTableElement::live(unsigned long)
154.77	154.77	8.761	librexx.so.4	MemoryObject::mark(RexxInternalObject*)
114.61	114.63	0.000	librexx.so.4	MemorySegmentSet::sweepSingleSegment(MemorySegment*)
89.33	89.33	1.000	librexx.so.4	Numerics::formatWholeNumber(long, char*)
80.00	527.62	1.000	librexx.so.4	DoBlock::checkControl(RexxActivation*, ExpressionStack*, bool)
63.00	1796.02	1.000	librexx.so.4	RexxActivation::assignLocalCompoundVariable(RexxString*, unsigned long, RexxInternalObject**, unsigned long, RexxObject*)
58.49	380.13	0.000	librexx.so.4	MemoryObject::markObjectsMain(RexxInternalObject*)
50.51	2498.16	0.000	librexx.so.4	RexxActivation::run(RexxObject*, RexxString*, RexxObject**, unsigned long, RexxInstruction*, ProtectedObject&)
50.00	316.62	1.000	librexx.so.4	RexxInteger::plus(RexxInteger*)
45.50	45.50	1.000	librexx.so.4	CompoundVariableTable::moveNode(CompoundTableElement*&, bool)
42.00	42.00	2.000	librexx.so.4	RexxSimpleVariable::evaluate(RexxActivation*, ExpressionStack*)
39.99	39.99	2.999	libc.so.6	__memset_avx2_unaligned_erms
38.00	38.00	1.000	librexx.so.4	RexxInteger::comp(RexxObject*)
35.00	137.33	1.000	librexx.so.4	RexxInteger::copyIntoTail(CompoundVariableTail*)
34.00	181.33	1.000	librexx.so.4	CompoundVariableTail::buildTail(RexxActivation*, RexxInternalObject**, unsigned long)
32.00	567.62	1.000	librexx.so.4	RexxInstructionBaseLoop::reExecute(RexxActivation*, ExpressionStack*, DoBlock*)
29.00	1855.03	1.000	librexx.so.4	RexxInstructionAssignment::execute(RexxActivation*, ExpressionStack*)
26.99	411.56	1.000	librexx.so.4	RexxString::newString(char const*, unsigned long)
25.00	592.62	1.000	librexx.so.4	RexxInstructionEnd::execute(RexxActivation*, ExpressionStack*)
24.00	24.00	2.000	librexx.so.4	ProtectedBase::ProtectedBase()
24.00	24.00	1.000	librexx.so.4	RexxSimpleVariable::assign(RexxActivation*, RexxObject*)
18.00	384.62	2.000	librexx.so.4	RexxObject::callOperatorMethod(unsigned long, RexxObject*)
14.01	14.01	1.000	libc.so.6	__memcpy_avx_unaligned_erms
13.99	425.55	1.000	librexx.so.4	CompoundVariableTail::makeString()
13.00	1533.66	1.000	librexx.so.4	StemClass::setCompoundVariable(CompoundVariableTail&, RexxObject*)
12.99	12.99	1.000	libc.so.6	__strlen_avx2
12.00	12.00	2.000	librexx.so.4	ProtectedBase::~ProtectedBase()
12.00	50.00	1.000	librexx.so.4	RexxInteger::isGreaterThan(RexxObject*)
11.00	1520.66	1.000	librexx.so.4	StemClass::getCompoundVariable(CompoundVariableTail&)
10.00	10.00	1.000	librexx.so.4	RexxSimpleVariable::getValue(RexxActivation*)
9.00	1805.03	1.000	librexx.so.4	RexxCompoundVariable::assign(RexxActivation*, RexxObject*)
9.00	266.62	1.000	librexx.so.4	RexxInteger::operator new(unsigned long)
5.00	532.62	1.000	librexx.so.4	RexxInstructionControlledDo::iterate(RexxActivation*, ExpressionStack*, DoBlock*, bool)
5.00	153.23	1.000	librexx.so.4	CompoundTableElement::operator new(unsigned long)
3.00	3.00	1.000	librexx.so.4	DoBlock::setCounter(RexxActivation*)
TOTAL self diff/it 2529.54  summary diff/it 2529.54
