construct	oracle_exlibc	oracle_all	tw_exlibc	ir_exlibc	tw/oracle	ir/oracle
empty loop (per iteration)	460.4	471.4	276.0	279.0	0.60	0.61
nop	33.3	33.3	279.0	106.0	8.39	3.19
assign_var	99.3	99.3	644.0	242.0	6.49	2.44
assign_lit	88.3	88.3	635.0	202.0	7.19	2.29
incr	311.4	322.4	962.0	377.0	3.09	1.21
concat	347.5	392.5	1091.1	531.0	3.14	1.53
if_eq	254.3	275.4	1102.1	703.1	4.33	2.76
stem_store	1609.9	2023.3	1171.4	985.4	0.73	0.61
stem_read	630.8	968.7	1060.4	674.4	1.68	1.07
bif_length	334.3	334.3	1168.0	639.0	3.49	1.91
call_r	851.8	949.8	2097.0	1826.0	2.46	2.14
parse_var	994.8	1075.8	1152.1	1042.0	1.16	1.05
mul	625.5	663.5	1985.9	1274.9	3.18	2.04
