task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
5b-drift	b1ec122ca	alloc4c	base	absolute	tw	small	instructions:u	2518482350.000000	2518481743.000000	2518482925.000000	7
5b-drift	b1ec122ca	alloc4c	base	absolute	ir	small	instructions:u	1664998116.000000	1664997477.000000	1664998671.000000	7
5b-drift	b1ec122ca	alloc4c	base	arm_ratio	ir/tw	large	instructions:u	0.669786	0.669786	0.669786	7
5b-drift	b1ec122ca	alloc4c	base	absolute	tw	large	instructions:u	5169327744.000000	5169326428.000000	5169327875.000000	7
5b-drift	b1ec122ca	alloc4c	base	absolute	ir	large	instructions:u	3462341408.000000	3462341000.000000	3462342844.000000	7
5b-drift	b1ec122ca	alloc4c	base	per_pass	tw	-	instructions:u	5301.690564	5301.687784	5301.691052	7
5b-drift	b1ec122ca	alloc4c	base	fixed	tw	-	instructions:u	-132363038.000000	-132363539.000000	-132361356.000000	7
5b-drift	b1ec122ca	alloc4c	base	per_pass	ir	-	instructions:u	3594.686974	3594.685184	3594.689456	7
5b-drift	b1ec122ca	alloc4c	base	fixed	ir	-	instructions:u	-132345561.000000	-132346612.000000	-132343921.000000	7
5b-drift	b1ec122ca	alloc4c	base	per_pass_gap	ir-tw	-	instructions:u	-1707.003364	-1707.004716	-1707.001108	7
5b-drift	b1ec122ca	alloc4c	base	arm_ratio	ir/tw	small	cycles:u	0.708967	0.696729	0.730428	7
5b-drift	b1ec122ca	alloc4c	base	absolute	tw	small	cycles:u	840188795.000000	829552007.000000	849980394.000000	7
5b-drift	b1ec122ca	alloc4c	base	absolute	ir	small	cycles:u	599699056.000000	579448505.000000	610482339.000000	7
5b-drift	b1ec122ca	alloc4c	base	arm_ratio	ir/tw	large	cycles:u	0.758388	0.741842	0.772718	7
5b-drift	b1ec122ca	alloc4c	base	absolute	tw	large	cycles:u	1984847409.000000	1969611200.000000	2067940201.000000	7
5b-drift	b1ec122ca	alloc4c	base	absolute	ir	large	cycles:u	1521954810.000000	1489971468.000000	1534085133.000000	7
5b-drift	b1ec122ca	alloc4c	base	per_pass	tw	-	cycles:u	2296.586314	2243.943864	2476.776388	7
5b-drift	b1ec122ca	alloc4c	base	fixed	tw	-	cycles:u	-312288057.000000	-408836187.000000	-274332664.000000	7
5b-drift	b1ec122ca	alloc4c	base	per_pass	ir	-	cycles:u	1844.828848	1766.391878	1909.273256	7
5b-drift	b1ec122ca	alloc4c	base	fixed	ir	-	cycles:u	-322715368.000000	-375188123.000000	-276420410.000000	7
5b-drift	b1ec122ca	alloc4c	base	per_pass_gap	ir-tw	-	cycles:u	-500.027612	-567.503132	-381.184262	7
5b-drift	b1ec122ca	alloc4c	head	arm_ratio	ir/tw	small	instructions:u	0.705347	0.705280	0.705417	7
5b-drift	b1ec122ca	alloc4c	head	absolute	tw	small	instructions:u	2908410227.000000	2908336063.000000	2908597494.000000	7
5b-drift	b1ec122ca	alloc4c	head	absolute	ir	small	instructions:u	2051439433.000000	2051366248.000000	2051636969.000000	7
5b-drift	b1ec122ca	alloc4c	head	arm_ratio	ir/tw	large	instructions:u	0.704387	0.704343	0.704452	7
5b-drift	b1ec122ca	alloc4c	head	absolute	tw	large	instructions:u	5798308539.000000	5798130823.000000	5798555519.000000	7
5b-drift	b1ec122ca	alloc4c	head	absolute	ir	large	instructions:u	4084266056.000000	4084163181.000000	4084502608.000000	7
5b-drift	b1ec122ca	alloc4c	head	per_pass	tw	-	instructions:u	5779.482860	5779.224494	5780.327818	7
5b-drift	b1ec122ca	alloc4c	head	fixed	tw	-	instructions:u	18689631.000000	18227701.000000	18985247.000000	7
5b-drift	b1ec122ca	alloc4c	head	per_pass	ir	-	instructions:u	4065.799616	4065.129480	4066.126350	7
5b-drift	b1ec122ca	alloc4c	head	fixed	ir	-	instructions:u	18466440.000000	18342229.000000	19072229.000000	7
5b-drift	b1ec122ca	alloc4c	head	per_pass_gap	ir-tw	-	instructions:u	-1713.683244	-1714.982828	-1713.112414	7
5b-drift	b1ec122ca	alloc4c	head	arm_ratio	ir/tw	small	cycles:u	0.747648	0.739017	0.771434	7
5b-drift	b1ec122ca	alloc4c	head	absolute	tw	small	cycles:u	961687324.000000	951115400.000000	967746207.000000	7
5b-drift	b1ec122ca	alloc4c	head	absolute	ir	small	cycles:u	720139226.000000	704590854.000000	745680620.000000	7
5b-drift	b1ec122ca	alloc4c	head	arm_ratio	ir/tw	large	cycles:u	0.790731	0.782474	0.809125	7
5b-drift	b1ec122ca	alloc4c	head	absolute	tw	large	cycles:u	2158176907.000000	2132876933.000000	2198162628.000000	7
5b-drift	b1ec122ca	alloc4c	head	absolute	ir	large	cycles:u	1703443748.000000	1685595454.000000	1755119442.000000	7
5b-drift	b1ec122ca	alloc4c	head	per_pass	tw	-	cycles:u	2403.315786	2358.920944	2460.832842	7
5b-drift	b1ec122ca	alloc4c	head	fixed	tw	-	cycles:u	-248413981.000000	-266927525.000000	-222386155.000000	7
5b-drift	b1ec122ca	alloc4c	head	per_pass	ir	-	cycles:u	1976.030100	1887.344590	2051.488154	7
5b-drift	b1ec122ca	alloc4c	head	fixed	ir	-	cycles:u	-283424196.000000	-301631576.000000	-197991675.000000	7
5b-drift	b1ec122ca	alloc4c	head	per_pass_gap	ir-tw	-	cycles:u	-423.243528	-495.777416	-375.960072	7
5b-drift	b1ec122ca	alloc4c	base>head	across_builds	tw	small	instructions:u	1.154827	1.154797	1.154901	7
5b-drift	b1ec122ca	alloc4c	base>head	across_builds	ir	small	instructions:u	1.232097	1.232053	1.232216	7
5b-drift	b1ec122ca	alloc4c	base>head	across_builds	tw	large	instructions:u	1.121676	1.121641	1.121723	7
5b-drift	b1ec122ca	alloc4c	base>head	across_builds	ir	large	instructions:u	1.179625	1.179596	1.179694	7
5b-drift	b1ec122ca	alloc4c	base>head	across_builds	tw	small	cycles:u	1.140362	1.131423	1.162738	7
5b-drift	b1ec122ca	alloc4c	base>head	across_builds	ir	small	cycles:u	1.214607	1.186830	1.262635	7
5b-drift	b1ec122ca	alloc4c	base>head	across_builds	tw	large	cycles:u	1.088520	1.031402	1.096184	7
5b-drift	b1ec122ca	alloc4c	base>head	across_builds	ir	large	cycles:u	1.131294	1.103332	1.163914	7
5b-drift	b1ec122ca	arith	base	arm_ratio	ir/tw	small	instructions:u	0.926899	0.926899	0.926899	7
5b-drift	b1ec122ca	arith	base	absolute	tw	small	instructions:u	6595535532.000000	6595534986.000000	6595535911.000000	7
5b-drift	b1ec122ca	arith	base	absolute	ir	small	instructions:u	6113394441.000000	6113394092.000000	6113394884.000000	7
5b-drift	b1ec122ca	arith	base	arm_ratio	ir/tw	large	instructions:u	0.918230	0.918230	0.918230	7
5b-drift	b1ec122ca	arith	base	absolute	tw	large	instructions:u	13208337672.000000	13208336414.000000	13208338145.000000	7
5b-drift	b1ec122ca	arith	base	absolute	ir	large	instructions:u	12128287623.000000	12128287063.000000	12128288112.000000	7
5b-drift	b1ec122ca	arith	base	per_pass	tw	-	instructions:u	26451.208756	26451.202012	26451.210972	7
5b-drift	b1ec122ca	arith	base	fixed	tw	-	instructions:u	-17266608.000000	-17267757.000000	-17264592.000000	7
5b-drift	b1ec122ca	arith	base	per_pass	ir	-	instructions:u	24059.572728	24059.568716	24059.576080	7
5b-drift	b1ec122ca	arith	base	fixed	ir	-	instructions:u	98501259.000000	98500072.000000	98502705.000000	7
5b-drift	b1ec122ca	arith	base	per_pass_gap	ir-tw	-	instructions:u	-2391.633504	-2391.639960	-2391.632480	7
5b-drift	b1ec122ca	arith	base	arm_ratio	ir/tw	small	cycles:u	0.976296	0.969790	0.982014	7
5b-drift	b1ec122ca	arith	base	absolute	tw	small	cycles:u	2101672323.000000	2094652572.000000	2114281789.000000	7
5b-drift	b1ec122ca	arith	base	absolute	ir	small	cycles:u	2052311976.000000	2045362936.000000	2063872126.000000	7
5b-drift	b1ec122ca	arith	base	arm_ratio	ir/tw	large	cycles:u	0.967688	0.960939	0.976258	7
5b-drift	b1ec122ca	arith	base	absolute	tw	large	cycles:u	4203449839.000000	4198624255.000000	4238532883.000000	7
5b-drift	b1ec122ca	arith	base	absolute	ir	large	cycles:u	4073460996.000000	4045260092.000000	4098939270.000000	7
5b-drift	b1ec122ca	arith	base	per_pass	tw	-	cycles:u	8435.112148	8351.734092	8563.528972	7
5b-drift	b1ec122ca	arith	base	fixed	tw	-	cycles:u	-9488433.000000	-43231603.000000	22757209.000000	7
5b-drift	b1ec122ca	arith	base	per_pass	ir	-	cycles:u	8086.274020	7999.588624	8167.018316	7
5b-drift	b1ec122ca	arith	base	fixed	ir	-	cycles:u	30743471.000000	15430112.000000	45465780.000000	7
5b-drift	b1ec122ca	arith	base	per_pass_gap	ir-tw	-	cycles:u	-376.206488	-473.037636	-184.715776	7
5b-drift	b1ec122ca	arith	head	arm_ratio	ir/tw	small	instructions:u	0.923339	0.919743	0.926019	7
5b-drift	b1ec122ca	arith	head	absolute	tw	small	instructions:u	6935344250.000000	6925883704.000000	6951226172.000000	7
5b-drift	b1ec122ca	arith	head	absolute	ir	small	instructions:u	6403670670.000000	6393156120.000000	6418521433.000000	7
5b-drift	b1ec122ca	arith	head	arm_ratio	ir/tw	large	instructions:u	0.912498	0.910939	0.913879	7
5b-drift	b1ec122ca	arith	head	absolute	tw	large	instructions:u	13763955213.000000	13743082378.000000	13787454912.000000	7
5b-drift	b1ec122ca	arith	head	absolute	ir	large	instructions:u	12559518337.000000	12557376047.000000	12559694277.000000	7
5b-drift	b1ec122ca	arith	head	per_pass	tw	-	instructions:u	27306.095320	27249.676244	27443.845476	7
5b-drift	b1ec122ca	arith	head	fixed	tw	-	instructions:u	109837930.000000	65532174.000000	138807111.000000	7
5b-drift	b1ec122ca	arith	head	per_pass	ir	-	instructions:u	24623.697712	24556.283420	24665.448868	7
5b-drift	b1ec122ca	arith	head	fixed	ir	-	instructions:u	247737266.000000	226793903.000000	279450578.000000	7
5b-drift	b1ec122ca	arith	head	per_pass_gap	ir-tw	-	instructions:u	-2690.350380	-2861.972948	-2593.539596	7
5b-drift	b1ec122ca	arith	head	arm_ratio	ir/tw	small	cycles:u	0.935382	0.916321	0.948756	7
5b-drift	b1ec122ca	arith	head	absolute	tw	small	cycles:u	2141581914.000000	2131096924.000000	2183974445.000000	7
5b-drift	b1ec122ca	arith	head	absolute	ir	small	cycles:u	2005021191.000000	1999533114.000000	2028819003.000000	7
5b-drift	b1ec122ca	arith	head	arm_ratio	ir/tw	large	cycles:u	0.924924	0.916961	0.939456	7
5b-drift	b1ec122ca	arith	head	absolute	tw	large	cycles:u	4223656199.000000	4203652141.000000	4255502290.000000	7
5b-drift	b1ec122ca	arith	head	absolute	ir	large	cycles:u	3916267601.000000	3901988180.000000	3949147121.000000	7
5b-drift	b1ec122ca	arith	head	per_pass	tw	-	cycles:u	8318.331588	8078.710784	8458.060868	7
5b-drift	b1ec122ca	arith	head	fixed	tw	-	cycles:u	51514027.000000	26471856.000000	164296749.000000	7
5b-drift	b1ec122ca	arith	head	per_pass	ir	-	cycles:u	7617.571584	7517.492500	7791.698476	7
5b-drift	b1ec122ca	arith	head	fixed	ir	-	cycles:u	95140218.000000	53297883.000000	143383980.000000	7
5b-drift	b1ec122ca	arith	head	per_pass_gap	ir-tw	-	cycles:u	-682.976652	-940.568368	-287.012308	7
5b-drift	b1ec122ca	arith	base>head	across_builds	tw	small	instructions:u	1.051521	1.050087	1.053929	7
5b-drift	b1ec122ca	arith	base>head	across_builds	ir	small	instructions:u	1.047482	1.045762	1.049911	7
5b-drift	b1ec122ca	arith	base>head	across_builds	tw	large	instructions:u	1.042066	1.040485	1.043845	7
5b-drift	b1ec122ca	arith	base>head	across_builds	ir	large	instructions:u	1.035556	1.035379	1.035570	7
5b-drift	b1ec122ca	arith	base>head	across_builds	tw	small	cycles:u	1.018706	1.007953	1.042643	7
