task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
3	71153941a	alloc4c	base	arm_ratio	ir/tw	small	instructions:u	0.709833	0.709771	0.709888	5
3	71153941a	alloc4c	base	absolute	tw	small	instructions:u	2943625528.000000	2943384959.000000	2943742021.000000	5
3	71153941a	alloc4c	base	absolute	ir	small	instructions:u	2089423223.000000	2089300837.000000	2089494103.000000	5
3	71153941a	alloc4c	base	arm_ratio	ir/tw	large	instructions:u	0.708935	0.708928	0.708948	5
3	71153941a	alloc4c	base	absolute	tw	large	instructions:u	5867881966.000000	5867866494.000000	5868019839.000000	5
3	71153941a	alloc4c	base	absolute	ir	large	instructions:u	4159941856.000000	4159897742.000000	4160077564.000000	5
3	71153941a	alloc4c	base	per_pass	tw	-	instructions:u	5848.555636	5848.450918	5848.974232	5
3	71153941a	alloc4c	base	fixed	tw	-	instructions:u	19357518.000000	18897843.000000	19464203.000000	5
3	71153941a	alloc4c	base	per_pass	ir	-	instructions:u	4140.980510	4140.807278	4141.463236	5
3	71153941a	alloc4c	base	fixed	ir	-	instructions:u	18932968.000000	18569219.000000	19090464.000000	5
3	71153941a	alloc4c	base	per_pass_gap	ir-tw	-	instructions:u	-1707.643640	-1708.039540	-1707.072784	5
3	71153941a	alloc4c	base	arm_ratio	ir/tw	small	cycles:u	0.752464	0.694717	0.775613	5
3	71153941a	alloc4c	base	absolute	tw	small	cycles:u	980070060.000000	964253517.000000	1042871224.000000	5
3	71153941a	alloc4c	base	absolute	ir	small	cycles:u	742033429.000000	724499929.000000	763869769.000000	5
3	71153941a	alloc4c	base	arm_ratio	ir/tw	large	cycles:u	0.773193	0.753424	0.804934	5
3	71153941a	alloc4c	base	absolute	tw	large	cycles:u	2271938070.000000	2235162319.000000	2303388938.000000	5
3	71153941a	alloc4c	base	absolute	ir	large	cycles:u	1761819486.000000	1731021505.000000	1809632031.000000	5
3	71153941a	alloc4c	base	per_pass	tw	-	cycles:u	2510.184518	2480.421492	2657.779974	5
3	71153941a	alloc4c	base	fixed	tw	-	cycles:u	-275022199.000000	-354391036.000000	-197339522.000000	5
3	71153941a	alloc4c	base	per_pass	ir	-	cycles:u	2003.328844	1934.303472	2168.132172	5
3	71153941a	alloc4c	base	fixed	ir	-	cycles:u	-251361195.000000	-358500141.000000	-203281967.000000	5
3	71153941a	alloc4c	base	per_pass_gap	ir-tw	-	cycles:u	-506.855674	-670.990726	-398.896124	5
3	71153941a	alloc4c	control	arm_ratio	ir/tw	small	instructions:u	0.709389	0.709301	0.709402	5
3	71153941a	alloc4c	control	absolute	tw	small	instructions:u	2943593406.000000	2943302379.000000	2943693512.000000	5
3	71153941a	alloc4c	control	absolute	ir	small	instructions:u	2088018937.000000	2087964422.000000	2088238829.000000	5
3	71153941a	alloc4c	control	arm_ratio	ir/tw	large	instructions:u	0.708410	0.708372	0.708454	5
3	71153941a	alloc4c	control	absolute	tw	large	instructions:u	5867892130.000000	5867808356.000000	5868026772.000000	5
3	71153941a	alloc4c	control	absolute	ir	large	instructions:u	4156891829.000000	4156718594.000000	4157072047.000000	5
3	71153941a	alloc4c	control	per_pass	tw	-	instructions:u	5848.651870	5848.397236	5849.011954	5
3	71153941a	alloc4c	control	fixed	tw	-	instructions:u	19267471.000000	18796402.000000	19494894.000000	5
3	71153941a	alloc4c	control	per_pass	ir	-	instructions:u	4137.745784	4137.009536	4138.172368	5
3	71153941a	alloc4c	control	fixed	ir	-	instructions:u	19146045.000000	18899679.000000	19734061.000000	5
3	71153941a	alloc4c	control	per_pass_gap	ir-tw	-	instructions:u	-1710.906086	-1711.696746	-1710.532416	5
3	71153941a	alloc4c	control	arm_ratio	ir/tw	small	cycles:u	0.722835	0.709616	0.744222	5
3	71153941a	alloc4c	control	absolute	tw	small	cycles:u	995137142.000000	982509940.000000	1060415572.000000	5
3	71153941a	alloc4c	control	absolute	ir	small	cycles:u	731205745.000000	706165638.000000	755988615.000000	5
3	71153941a	alloc4c	control	arm_ratio	ir/tw	large	cycles:u	0.776062	0.752851	0.782574	5
3	71153941a	alloc4c	control	absolute	tw	large	cycles:u	2257174154.000000	2247750324.000000	2284068231.000000	5
3	71153941a	alloc4c	control	absolute	ir	large	cycles:u	1753917439.000000	1719562886.000000	1759561846.000000	5
3	71153941a	alloc4c	control	per_pass	tw	-	cycles:u	2517.864970	2447.305318	2571.686122	5
3	71153941a	alloc4c	control	fixed	tw	-	cycles:u	-263795343.000000	-291875915.000000	-163237087.000000	5
3	71153941a	alloc4c	control	per_pass	ir	-	cycles:u	2055.648548	1927.148542	2086.264200	5
3	71153941a	alloc4c	control	fixed	ir	-	cycles:u	-296618529.000000	-336966462.000000	-207585656.000000	5
3	71153941a	alloc4c	control	per_pass_gap	ir-tw	-	cycles:u	-474.832220	-534.640484	-431.600770	5
3	71153941a	alloc4c	head	arm_ratio	ir/tw	small	instructions:u	0.710237	0.710220	0.710308	5
3	71153941a	alloc4c	head	absolute	tw	small	instructions:u	2952659851.000000	2952485033.000000	2952660804.000000	5
3	71153941a	alloc4c	head	absolute	ir	small	instructions:u	2097088826.000000	2097015509.000000	2097173749.000000	5
3	71153941a	alloc4c	head	arm_ratio	ir/tw	large	instructions:u	0.709289	0.709257	0.709329	5
3	71153941a	alloc4c	head	absolute	tw	large	instructions:u	5885870679.000000	5885787454.000000	5886133733.000000	5
3	71153941a	alloc4c	head	absolute	ir	large	instructions:u	4174791416.000000	4174717375.000000	4174959457.000000	5
3	71153941a	alloc4c	head	per_pass	tw	-	instructions:u	5866.642306	5866.255206	5866.945858	5
3	71153941a	alloc4c	head	fixed	tw	-	instructions:u	19236414.000000	19149084.000000	19532248.000000	5
3	71153941a	alloc4c	head	per_pass	ir	-	instructions:u	4155.403708	4155.248562	4155.840748	5
3	71153941a	alloc4c	head	fixed	ir	-	instructions:u	19460277.000000	19118709.000000	19532445.000000	5
3	71153941a	alloc4c	head	per_pass_gap	ir-tw	-	instructions:u	-1711.163540	-1711.697296	-1710.414458	5
3	71153941a	alloc4c	head	arm_ratio	ir/tw	small	cycles:u	0.730869	0.691765	0.766254	5
3	71153941a	alloc4c	head	absolute	tw	small	cycles:u	1013920098.000000	975465936.000000	1040544301.000000	5
3	71153941a	alloc4c	head	absolute	ir	small	cycles:u	722736761.000000	708578691.000000	790025715.000000	5
3	71153941a	alloc4c	head	arm_ratio	ir/tw	large	cycles:u	0.752970	0.748084	0.784671	5
