task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
pre-phase-5-baseline	b029abe77	alloc4c	pinned	arm_ratio	ir/tw	small	instructions:u	0.872209	0.872191	0.872222	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	absolute	tw	small	instructions:u	3634822335.000000	3634787968.000000	3634860743.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	absolute	ir	small	instructions:u	3170327186.000000	3170269021.000000	3170373130.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	arm_ratio	ir/tw	large	instructions:u	0.874644	0.874635	0.874657	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	absolute	tw	large	instructions:u	7410323759.000000	7410259844.000000	7410359742.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	absolute	ir	large	instructions:u	6481371414.000000	6481303038.000000	6481493561.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	per_pass	tw	-	instructions:u	7550.995224	7550.798202	7551.083700	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	fixed	tw	-	instructions:u	-140678726.000000	-140753882.000000	-140538358.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	per_pass	ir	-	instructions:u	6622.091836	6621.996568	6622.332750	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	fixed	ir	-	instructions:u	-140752300.000000	-140839189.000000	-140625154.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	per_pass_gap	ir-tw	-	instructions:u	-928.865040	-929.078246	-928.706366	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	arm_ratio	ir/tw	small	cycles:u	0.884019	0.842911	0.912082	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	absolute	tw	small	cycles:u	1124681181.000000	1090521966.000000	1154940026.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	absolute	ir	small	cycles:u	994645032.000000	963296067.000000	1012017480.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	arm_ratio	ir/tw	large	cycles:u	0.911198	0.882213	0.928666	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	absolute	tw	large	cycles:u	2672383590.000000	2586803256.000000	2691776986.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	absolute	ir	large	cycles:u	2402276744.000000	2357610659.000000	2445239766.000000	5
pre-phase-5-baseline	b029abe77	alloc4c	pinned	per_pass	tw	-	cycles:u	3073.673920	2887.964434	3179.868400	5
